GENEID,KD_1_1,KD_1_2,KD_2_1,KD_2_2,KD_2_3
Abhd2,-0.348733433,0.033466184,-0.020609809,-0.015385916,-0.133735091
Abhd3,-0.158772134,-0.067784965,-0.066978005,0.02892591,-0.077371124
Abhd4,-0.425369269,-0.112090278,-0.413023078,-0.150992455,-0.450524647
Abhd5,0.061245274,-0.079957884,-0.141740777,-0.01261366,0.054417418
Abhd6,-0.199570366,0.187796508,-0.08188142,0.059821959,-0.107705669
Abhd8,-0.130408387,-0.112761183,-0.313058351,-0.31648567,-0.657334327
Abi1,0.009255857,0.155832007,0.095180701,0.016029624,-0.011275919
Abi2,-0.02164867,0.146265171,0.065046877,0.182549885,0.148562345
Abi3bp,-0.453720801,-0.333152392,-0.214067835,-0.324934492,0.5680277
Abitram,-0.061525834,-0.050900374,-0.059087367,0.100856667,-0.146997507
Abl1,-0.181191118,-0.139114609,-0.246349979,-0.110447515,-0.164141286
Abl2,0.004858423,0.004020445,-0.111515066,0.025005156,-0.225839791
Ablim1,-0.065508979,-0.148463858,-0.049642363,0.050664582,0.063039429
Ablim2,-0.17277801,-0.455595831,-0.327826194,-0.211440962,-0.05014444
Ablim3,-0.399498937,-0.161284465,-0.171903426,-0.090567507,0.183906511
Abr,-0.332088835,-0.160616993,-0.206072737,-0.014726259,-0.094242742
Abra,0.176098969,-0.125851651,0.262975522,0.264197702,0.038183726
Abracl,0.39737251,-0.106423928,-0.017613399,-0.035086338,-0.426774277
Abraxas1,-0.168569798,-0.244223527,0.150607278,-0.128950137,0.410721924
Abraxas2,-0.054653061,-0.028821244,-0.010730023,0.111047567,-0.185577629
Abt1,-0.122836005,0.076361431,-0.140775179,-0.390006645,-0.185896609
Abtb1,-0.002564259,0.130434836,-0.096519499,0.156824205,0.151584574
Abtb2,-0.288398425,-0.446556377,-0.365614609,-0.16983285,-0.380407769
Abtb3,0.238416996,-0.309350095,0.072140607,-0.239029344,-0.352166382
Acaa1a,-0.161130012,-0.287980018,-0.285804889,-0.178596372,-0.34974193
Acaa2,0.04866675,-0.078283925,-0.20436412,-0.226051983,-0.357417517
Acaca,-0.092912679,-0.219462102,-0.190778338,-0.055755006,-0.231258424
Acacb,0.198006709,-0.485416397,-0.073267216,-0.148972842,0.116810268
Acad10,0.018471886,-0.406414544,-0.093252158,0.121554053,0.281919407
Acad11,0.082983247,0.151482626,0.044147391,0.099897286,-0.087722221
Acad12,-0.298124284,-0.220988852,-0.096788255,-0.018638028,-0.038207941
Acad8,0.240656349,-0.165313759,-0.203400671,-0.037299032,0.035119882
Acad9,0.04642843,-0.257611667,-0.05539101,-0.122130789,-0.062025114
Acadl,0.120847912,-0.45577736,-0.069595419,-0.136325173,0.167003294
Acadm,-0.027456146,0.063164034,-0.117540163,0.014563292,0.024116566
Acads,0.358577638,-0.033936809,-0.168755812,-0.123722947,0.114055453
Acadsb,0.210883306,0.100155614,0.250568643,0.171563464,0.130677415
Acadvl,-0.276737298,-0.009520939,-0.098468329,-0.17975049,-0.425375137
Acan,-0.069834981,-0.084117126,0.463235546,0.024865826,-0.013608994
Acap2,0.000513478,0.129068073,0.11245797,0.107173396,0.15670928
Acap3,-0.319666964,-0.051732242,-0.289923414,-0.110573636,-0.244687289
Acat1,0.043600515,0.099902843,-0.129160063,-0.146062283,-0.242187019
Acat2,-0.149494136,0.009993588,-0.345566251,-0.290661089,-0.287227085
Acat3,0.11719934,0.106411023,-0.16110144,-0.106719547,-0.260281385
Acbd3,-0.113930744,0.213503762,0.131371382,-0.077926324,0.127762024
Acbd4,0.027033799,0.16896324,0.063844529,-0.026038356,-0.199236217
Acbd5,0.116013588,0.035693283,0.093031348,0.113412703,0.121339401
Acbd6,-0.14915965,-0.152460401,-0.046461647,-0.022401886,-0.090437343
Accs,-0.03425251,-0.287011125,-0.278216752,-0.388987942,-0.114543754
Acd,-0.162456475,0.20316871,0.004633879,-0.070069309,-0.011888863
Ace,-0.22284324,-0.319207577,-0.341272438,-0.518896016,-0.14257404
Acer2,-0.332025208,-0.260178406,0.025886749,-0.234823244,0.254415609
